DBA_Name,Facility_Type,Risk,Address,State,Zip,Inspection_Type,Latitude,Longitude,Results
FLY GIRL FLY,Catering,Risk 1 (High),125 W 46TH PL ,IL,60609.0,Canvass Re-Inspection,41.81064440590945,-87.62945032101808,Pass
NANDO'S PERI PERI,Restaurant,Risk 1 (High),949-953 W RANDOLPH ST ,IL,60607.0,Canvass,41.884224057234434,-87.6516927624568,Pass
MARRIOTT MARQUIS CHICAGO,Restaurant,Risk 1 (High),2121 S PRAIRIE AVE ,IL,60616.0,Canvass Re-Inspection,41.853650885040594,-87.62053358114166,Pass
CHICAGO'S HOME OF CHICKEN & WAFFLES,Restaurant,Risk 1 (High),3947 S DR MARTIN LUTHER KING JR DR ,IL,60653.0,Canvass,41.82254785730014,-87.61681561837467,Pass
THE CORNED BEEF FACTORY SANDWICH SHOP,Restaurant,Risk 1 (High),1016 W LAKE ST ,IL,60607.0,Canvass,41.88568000263013,-87.6529013513384,Pass
JUST TURKEY GRILL,Restaurant,Risk 1 (High),120 W 87TH ST ,IL,60620.0,Canvass,41.73638020184098,-87.62769923470611,Fail
RAYMOND'S HAMBURGERS & TACOS,Restaurant,Risk 1 (High),2404 S BLUE ISLAND AVE ,IL,60608.0,Canvass,41.84878118113963,-87.67542917644128,Fail
MADO HEALTHCARE-BUENA PARK,Long Term Care,Risk 1 (High),940 W CULLOM AVE ,IL,60613.0,Canvass,41.96028808720104,-87.65384157533609,Fail
CENTRAL PARK FRESH MARKET,Grocery Store,Risk 1 (High),3552 W GRAND AVE ,IL,60651.0,License,41.90191262307785,-87.71540440091492,Pass
HK BANQUET,Restaurant,Risk 1 (High),6845 W ADDISON ST ,IL,60634.0,License Re-Inspection,41.94533186509268,-87.7978021517726,Pass
Talman,School,Risk 1 (High),5450 S Talman AVE ,IL,60632.0,Canvass,41.7940738208314,-87.69029830237123,Pass w/ Conditions
PERFECT BRUNCH BRO'S,Restaurant,Risk 1 (High),4661 N KEDZIE AVE ,IL,60625.0,License,41.966280768751815,-87.7082605216536,Fail
CAFE ISTANBUL,Restaurant,Risk 1 (High),2014 W DIVISION ST ,IL,60622.0,Canvass Re-Inspection,41.903289141646646,-87.67791409556975,Pass
BARRIO / BODEGA,Restaurant,Risk 1 (High),65 W KINZIE ST ,IL,60654.0,Complaint,41.88910912817771,-87.6305406286297,Fail
ARTEMIO'S BAKERY #2,Bakery,Risk 2 (Medium),1443 N MILWAUKEE AVE ,IL,60622.0,License,41.90821988055862,-87.67386766215908,Pass
