HospitalName,City,State,HospitalOwner,Condition,MeasureCode,MeasureName,Score,Sample,EmergencyService
shelby baptist medical center,alabaster,al,voluntary non-profit - church,heart attack,ami-1,heart attack patients given aspirin at arrival,0.99,179,yes
andalusia regional hospital,andalusia,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,1,8,no
stringfellow memorial hospital,anniston,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,0.98,81,yes
yukon kuskokwim delta reg hospital,bethel,ak,government - federal,heart attack,ami-1,heart attack patients given aspirin at arrival,0,0,no
university of alabama hospital,birmingham,al,government - state,heart attack,ami-1,heart attack patients given aspirin at arrival,0.98,229,yes
st vincents hospital,birmingham,al,voluntary non-profit - other,heart attack,ami-1,heart attack patients given aspirin at arrival,0.97,239,yes
st vincents east,birmingham,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0.99,240,yes
callahan eye foundation hospital,birmingham,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0,0,yes
marshall medical center south,boaz,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,0.8,20,yes
cherokee medical center,centre,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0,0,yes
chilton medical center,clanton,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,1,1,yes
cullman regional medical center,cullman,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,1,51,yes
southeast alabama medical center,dothan,al,government - hospital district or authority,heart attack,ami-1,heart attack patients given aspirin at arrival,0.98,270,yes
elba general hospital,elba,al,voluntary non-profit - other,heart attack,ami-1,heart attack patients given aspirin at arrival,0,0,yes
medical center enterprise,enterprise,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,1,4,yes
fayette medical center,fayette,al,voluntary non-profit - other,heart attack,ami-1,heart attack patients given aspirin at arrival,1,18,yes
eliza coffee memorial hospital,florence,al,voluntary non-profit - other,heart attack,ami-1,heart attack patients given aspirin at arrival,0.97,159,yes
dekalb regional medical center,fort payne,al,voluntary non-profit - church,heart attack,ami-1,heart attack patients given aspirin at arrival,1,46,yes
gadsden regional medical center,gadsden,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,0.94,123,yes
riverview regional medical center,gadsden,al,proprietary,heart attack,ami-1,heart attack patients given aspirin at arrival,1,126,yes
georgiana hospital,georgiana,al,voluntary non-profit - private,heart attack,ami-1,heart attack patients given aspirin at arrival,0.53,19,yes
